"module name","licenses","repository","licenseUrl","parents"
"emojis-list@2.1.0","MIT","https://github.com/kikobeats/emojis-list","https://github.com/kikobeats/emojis-list/raw/master/LICENSE.md","atlantis"
"encodeurl@1.0.1","MIT","https://github.com/pillarjs/encodeurl","https://github.com/pillarjs/encodeurl/raw/master/LICENSE","atlantis"
"end-of-stream@1.4.0","MIT","https://github.com/mafintosh/end-of-stream","https://github.com/mafintosh/end-of-stream/raw/master/LICENSE","atlantis"
"engine.io-client@1.8.2","MIT","https://github.com/socketio/engine.io-client","https://github.com/socketio/engine.io-client/raw/master/LICENSE","atlantis"
"engine.io-parser@1.3.2","MIT","https://github.com/socketio/engine.io-parser","https://github.com/socketio/engine.io-parser/raw/master/LICENSE","atlantis"
"engine.io@1.8.2","MIT","https://github.com/socketio/engine.io","https://github.com/socketio/engine.io/raw/master/LICENSE","atlantis"
"enhanced-resolve@3.3.0","MIT","https://github.com/webpack/enhanced-resolve","http://www.opensource.org/licenses/mit-license.php","atlantis"
"ensure-posix-path@1.0.2","ISC","https://github.com/stefanpenner/ensure-posix-path","https://github.com/stefanpenner/ensure-posix-path","atlantis"
"ent@2.2.0","MIT","https://github.com/substack/node-ent","https://github.com/substack/node-ent/raw/master/LICENSE","atlantis"
"entities@1.1.1","BSD-like","https://github.com/fb55/node-entities","https://github.com/fb55/node-entities/raw/master/LICENSE","atlantis"
"errno@0.1.4","MIT","https://github.com/rvagg/node-errno","https://github.com/rvagg/node-errno","atlantis"
"error-ex@1.3.1","MIT","https://github.com/qix-/node-error-ex","https://github.com/qix-/node-error-ex/raw/master/LICENSE","atlantis"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html","https://github.com/component/escape-html/raw/master/LICENSE","atlantis"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp/raw/master/license","atlantis"
"esprima@2.7.3","BSD-2-Clause","https://github.com/jquery/esprima","https://github.com/jquery/esprima/raw/master/LICENSE.BSD","svgo:atlantis"
"esprima@4.0.0","BSD-2-Clause","https://github.com/jquery/esprima","https://github.com/jquery/esprima/raw/master/LICENSE.BSD","atlantis"
"esutils@2.0.2","BSD","http://github.com/estools/esutils","http://github.com/estools/esutils/raw/master/LICENSE.BSD","atlantis"
"etag@1.8.1","MIT","https://github.com/jshttp/etag","https://github.com/jshttp/etag/raw/master/LICENSE","atlantis"
"eventemitter3@1.2.0","MIT","https://github.com/primus/eventemitter3","https://github.com/primus/eventemitter3/raw/master/LICENSE","http-proxy:atlantis"
"eventemitter3@2.0.3","MIT","https://github.com/primus/eventemitter3","https://github.com/primus/eventemitter3/raw/master/LICENSE","atlantis"
"events@1.1.1","MIT","https://github.com/Gozala/events","https://github.com/Gozala/events/raw/master/LICENSE","atlantis"
